iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A64,2020-02-15,-69.8588,-61.1298,-0.0095,-0.0509,0.0924,241.52,0.0,0.0,0.71128,0.70291,2.824,0.0326,-0.0682,-0.7715,4.4138,0.0151,0.0435
A64,2020-02-16,-69.8262,-61.198,0.0326,-0.0682,0.1862,324.18,0.0,0.0,0.72326,0.69057,2.794,0.0,0.0,-0.5419,6.6851,0.0051,0.033
A64,2020-02-17,-69.8262,-61.198,0.0,0.0,0.0,0.0,0.0,0.0,0.73503,0.67803,2.758,0.0,0.0,0.0146,0.6287,-0.0014,0.0423
A64,2020-02-18,-69.8262,-61.198,0.0,0.0,0.0,0.0,0.0,0.0,0.74659,0.66529,2.714,0.0,0.0,-0.2976,-0.2631,0.0007,0.0419
A64,2020-02-19,-69.8262,-61.198,0.0,0.0,0.0,0.0,0.0,0.0,0.75792,0.65235,2.711,0.0047,-0.005,0.0462,-1.5115,0.0105,0.0367
A64,2020-02-20,-69.8215,-61.203,0.0047,-0.005,0.0232,339.85,0.0,0.0,0.76903,0.63921,2.769,0.0882,0.2197,0.0523,-3.3278,0.0305,0.0127
A64,2020-02-21,-69.7333,-60.9833,0.0882,0.2197,0.5392,40.83,16.0,11.0,0.77991,0.62589,2.76,-0.0642,-0.242,0.5385,-4.2747,0.0756,0.0237
A64,2020-02-22,-69.7975,-61.2253,-0.0642,-0.242,0.4887,232.4,0.0,0.0,0.79056,0.61238,2.747,0.0102,-0.005,-0.6001,2.0669,-0.0408,0.0784
A64,2020-02-23,-69.7873,-61.2303,0.0102,-0.005,0.0479,350.39,0.0,0.0,0.80098,0.59869,2.756,0.0063,0.092,-0.0427,-1.506,0.0013,0.0454
A64,2020-02-24,-69.781,-61.1383,0.0063,0.092,0.1502,78.83,0.0,0.0,0.81116,0.58482,2.754,0.0219,0.0537,0.7282,-4.616,0.0567,0.0138
A64,2020-02-25,-69.7591,-61.0846,0.0219,0.0537,0.133,40.32,0.0,0.0,0.8211,0.57078,2.757,0.0,0.0,0.9522,-2.9784,0.0522,0.0329
A64,2020-02-26,-69.7591,-61.0846,0.0,0.0,0.0,0.0,0.0,0.0,0.8308,0.55658,2.757,0.0146,-0.0394,0.0894,3.5908,-0.0586,0.124
A64,2020-02-27,-69.7445,-61.124,0.0146,-0.0394,0.0926,316.94,0.0,0.0,0.84025,0.5422,2.735,0.0,0.0,-0.7292,4.4766,-0.1072,0.1384
A64,2020-02-28,-69.7445,-61.124,0.0,0.0,0.0,0.0,16.0,11.0,0.84945,0.52767,2.753,-0.0131,0.1095,-2.6111,3.2383,-0.036,0.0807
