date,region,mean_sic,min_sic,max_sic,valid_cells
2026-08-18,Riiser-Larsen Sea,69.57,0.0,100.0,15819
2026-08-18,Lazarev Sea,91.56,0.0,100.0,12110
2026-08-18,King Haakon VII Sea,91.31,0.0,100.0,16529
2026-08-18,Antarctic Peninsula,24.14,0.0,100.0,18138
2026-08-19,Weddell Sea,65.25,0.0,100.0,75436
2026-08-19,Ross Sea,96.68,2.0,100.0,37639
2026-08-19,Amundsen Sea,97.39,0.0,100.0,17882
2026-08-19,Bellingshausen Sea,77.54,0.0,100.0,22863
2026-08-19,Scotia Sea,4.91,0.0,100.0,59842
2026-08-19,Prydz Bay,68.72,0.0,100.0,321
2026-08-19,Davis Sea,75.33,0.0,100.0,6253
2026-08-19,Cooperation Sea,60.68,0.0,100.0,12574
2026-08-19,Mawson Sea,77.99,0.0,100.0,11866
2026-08-19,Cosmonaut Sea,41.58,0.0,100.0,13364
2026-08-19,Somov Sea,96.31,0.0,100.0,14561
2026-08-19,Riiser-Larsen Sea,67.54,0.0,100.0,15818
2026-08-19,Lazarev Sea,90.32,0.0,100.0,12112
2026-08-19,King Haakon VII Sea,92.3,3.0,100.0,16529
2026-08-19,Antarctic Peninsula,22.59,0.0,100.0,18138
2026-08-20,Weddell Sea,66.08,0.0,100.0,75403
2026-08-20,Ross Sea,97.04,1.0,100.0,37680
2026-08-20,Amundsen Sea,98.75,0.0,100.0,17849
2026-08-20,Bellingshausen Sea,73.87,0.0,100.0,22858
2026-08-20,Scotia Sea,4.37,0.0,100.0,59842
2026-08-20,Prydz Bay,70.74,2.0,100.0,335
2026-08-20,Davis Sea,82.97,0.0,100.0,6266
2026-08-20,Cooperation Sea,61.45,0.0,100.0,12593
2026-08-20,Mawson Sea,86.46,0.0,100.0,11884
2026-08-20,Cosmonaut Sea,45.79,0.0,100.0,13323
2026-08-20,Somov Sea,97.47,0.0,100.0,14587
2026-08-20,Riiser-Larsen Sea,77.63,0.0,100.0,15813
2026-08-20,Lazarev Sea,90.74,0.0,100.0,12106
2026-08-20,King Haakon VII Sea,90.12,0.0,100.0,16529
2026-08-20,Antarctic Peninsula,22.66,0.0,100.0,18138
2026-08-21,Weddell Sea,66.29,0.0,100.0,75446
2026-08-21,Ross Sea,98.39,19.0,100.0,37677
2026-08-21,Amundsen Sea,97.89,0.0,100.0,17908
2026-08-21,Bellingshausen Sea,70.15,0.0,100.0,22890
2026-08-21,Scotia Sea,4.79,0.0,100.0,59842
2026-08-21,Prydz Bay,58.2,1.0,100.0,340
2026-08-21,Davis Sea,89.82,0.0,100.0,6276
2026-08-21,Cooperation Sea,61.28,0.0,100.0,12606
2026-08-21,Mawson Sea,89.29,0.0,100.0,11879
2026-08-21,Cosmonaut Sea,44.98,0.0,100.0,13358
2026-08-21,Somov Sea,98.05,0.0,100.0,14594
2026-08-21,Riiser-Larsen Sea,79.84,0.0,100.0,15813
2026-08-21,Lazarev Sea,95.1,0.0,100.0,12112
2026-08-21,King Haakon VII Sea,94.01,0.0,100.0,16529
2026-08-21,Antarctic Peninsula,16.08,0.0,100.0,18138
2026-08-22,Weddell Sea,67.17,0.0,100.0,75444
2026-08-22,Ross Sea,98.5,0.0,100.0,37687
2026-08-22,Amundsen Sea,98.01,0.0,100.0,17921
2026-08-22,Bellingshausen Sea,62.09,0.0,100.0,22884
2026-08-22,Scotia Sea,4.97,0.0,100.0,59842
2026-08-22,Prydz Bay,47.16,0.0,99.0,338
2026-08-22,Davis Sea,88.79,0.0,100.0,6267
2026-08-22,Cooperation Sea,60.87,0.0,100.0,12605
2026-08-22,Mawson Sea,69.91,0.0,100.0,11882
2026-08-22,Cosmonaut Sea,43.93,0.0,100.0,13362
2026-08-22,Somov Sea,98.4,0.0,100.0,14590
2026-08-22,Riiser-Larsen Sea,75.39,0.0,100.0,15815
2026-08-22,Lazarev Sea,95.04,0.0,100.0,12108
2026-08-22,King Haakon VII Sea,96.89,15.0,100.0,16529
2026-08-22,Antarctic Peninsula,9.22,0.0,100.0,18138
2026-08-23,Weddell Sea,70.12,0.0,100.0,75559
2026-08-23,Ross Sea,98.43,0.0,100.0,37901
2026-08-23,Amundsen Sea,97.4,0.0,100.0,18207
2026-08-23,Bellingshausen Sea,60.22,0.0,100.0,23000
2026-08-23,Scotia Sea,5.46,0.0,100.0,59842
2026-08-23,Prydz Bay,51.32,0.0,100.0,376
2026-08-23,Davis Sea,91.28,0.0,100.0,6360
2026-08-23,Cooperation Sea,59.48,0.0,100.0,12738
2026-08-23,Mawson Sea,79.94,0.0,100.0,11909
2026-08-23,Cosmonaut Sea,47.28,0.0,100.0,13508
2026-08-23,Somov Sea,97.26,0.0,100.0,14717
2026-08-23,Riiser-Larsen Sea,76.55,0.0,100.0,15906
2026-08-23,Lazarev Sea,91.66,0.0,100.0,12118
2026-08-23,King Haakon VII Sea,96.85,0.0,100.0,16529
2026-08-23,Antarctic Peninsula,13.79,0.0,100.0,18138
2026-08-24,Weddell Sea,70.51,0.0,100.0,75443
2026-08-24,Ross Sea,97.6,1.0,100.0,37686
2026-08-24,Amundsen Sea,96.09,0.0,100.0,17913
2026-08-24,Bellingshausen Sea,64.65,0.0,100.0,22881
2026-08-24,Scotia Sea,5.33,0.0,100.0,59842
2026-08-24,Prydz Bay,64.46,4.0,100.0,334
2026-08-24,Davis Sea,86.78,0.0,100.0,6274
2026-08-24,Cooperation Sea,73.84,0.0,100.0,12594
2026-08-24,Mawson Sea,81.75,0.0,100.0,11878
2026-08-24,Cosmonaut Sea,52.63,0.0,100.0,13361
2026-08-24,Somov Sea,95.58,0.0,100.0,14587
2026-08-24,Riiser-Larsen Sea,78.23,0.0,100.0,15816
2026-08-24,Lazarev Sea,91.11,0.0,100.0,12111
2026-08-24,King Haakon VII Sea,95.77,0.0,100.0,16529
2026-08-24,Antarctic Peninsula,16.04,0.0,100.0,18138
2026-08-25,Weddell Sea,67.28,0.0,100.0,75449
2026-08-25,Ross Sea,97.5,0.0,100.0,37668
2026-08-25,Amundsen Sea,96.62,0.0,100.0,17925
2026-08-25,Bellingshausen Sea,73.14,0.0,100.0,22888
2026-08-25,Scotia Sea,4.31,0.0,100.0,59842
2026-08-25,Prydz Bay,85.01,7.0,100.0,332
2026-08-25,Davis Sea,82.9,0.0,100.0,6274
2026-08-25,Cooperation Sea,82.34,0.0,100.0,12590
2026-08-25,Mawson Sea,81.82,0.0,100.0,11881
2026-08-25,Cosmonaut Sea,53.44,0.0,100.0,13353
2026-08-25,Somov Sea,94.72,0.0,100.0,14583
2026-08-25,Riiser-Larsen Sea,80.26,0.0,100.0,15817
2026-08-25,Lazarev Sea,87.85,0.0,100.0,12110
2026-08-25,King Haakon VII Sea,92.34,0.0,100.0,16529
2026-08-25,Antarctic Peninsula,21.76,0.0,100.0,18138
2026-08-26,Weddell Sea,64.73,0.0,100.0,75449
2026-08-26,Ross Sea,97.47,9.0,100.0,37690
2026-08-26,Amundsen Sea,97.51,0.0,100.0,17933
2026-08-26,Bellingshausen Sea,77.49,0.0,100.0,22884
2026-08-26,Scotia Sea,3.63,0.0,100.0,59842
2026-08-26,Prydz Bay,70.88,0.0,100.0,337
2026-08-26,Davis Sea,82.55,0.0,100.0,6277
2026-08-26,Cooperation Sea,81.06,0.0,100.0,12607
2026-08-26,Mawson Sea,81.66,0.0,100.0,11879
2026-08-26,Cosmonaut Sea,61.46,0.0,100.0,13367
2026-08-26,Somov Sea,94.85,0.0,100.0,14590
2026-08-26,Riiser-Larsen Sea,87.95,0.0,100.0,15814
2026-08-26,Lazarev Sea,88.4,0.0,100.0,12111
2026-08-26,King Haakon VII Sea,91.93,0.0,100.0,16529
2026-08-26,Antarctic Peninsula,21.88,0.0,100.0,18138
2026-08-27,Weddell Sea,64.13,0.0,100.0,75448
2026-08-27,Ross Sea,97.85,0.0,100.0,37683
2026-08-27,Amundsen Sea,97.01,0.0,100.0,17935
2026-08-27,Bellingshausen Sea,77.26,0.0,100.0,22883
2026-08-27,Scotia Sea,3.01,0.0,100.0,59842
2026-08-27,Prydz Bay,73.81,0.0,100.0,340
2026-08-27,Davis Sea,79.18,0.0,100.0,6264
2026-08-27,Cooperation Sea,81.97,0.0,100.0,12598
2026-08-27,Mawson Sea,80.94,0.0,100.0,11888
2026-08-27,Cosmonaut Sea,58.07,0.0,100.0,13359
2026-08-27,Somov Sea,98.28,0.0,100.0,14592
2026-08-27,Riiser-Larsen Sea,84.09,0.0,100.0,15819
2026-08-27,Lazarev Sea,95.11,0.0,100.0,12107
2026-08-27,King Haakon VII Sea,92.99,0.0,100.0,16529
2026-08-27,Antarctic Peninsula,20.86,0.0,100.0,18138
2026-08-28,Weddell Sea,64.65,0.0,100.0,75448
2026-08-28,Ross Sea,97.17,0.0,100.0,37692
2026-08-28,Amundsen Sea,97.03,0.0,100.0,17924
2026-08-28,Bellingshausen Sea,79.64,0.0,100.0,22885
2026-08-28,Scotia Sea,2.99,0.0,100.0,59842
2026-08-28,Prydz Bay,81.13,7.0,100.0,333
2026-08-28,Davis Sea,87.6,0.0,100.0,6273
2026-08-28,Cooperation Sea,86.03,0.0,100.0,12600
2026-08-28,Mawson Sea,76.36,0.0,100.0,11874
2026-08-28,Cosmonaut Sea,57.84,0.0,100.0,13359
2026-08-28,Somov Sea,96.13,0.0,100.0,14599
2026-08-28,Riiser-Larsen Sea,86.47,0.0,100.0,15816
2026-08-28,Lazarev Sea,94.01,0.0,100.0,12110
2026-08-28,King Haakon VII Sea,92.14,0.0,100.0,16529
2026-08-28,Antarctic Peninsula,23.62,0.0,100.0,18138
2026-08-29,Weddell Sea,64.45,0.0,100.0,75449
2026-08-29,Ross Sea,97.16,0.0,100.0,37685
2026-08-29,Amundsen Sea,97.44,0.0,100.0,17930
2026-08-29,Bellingshausen Sea,82.18,0.0,100.0,22878
2026-08-29,Scotia Sea,3.22,0.0,100.0,59842
2026-08-29,Prydz Bay,84.27,11.0,100.0,335
2026-08-29,Davis Sea,89.89,0.0,100.0,6267
2026-08-29,Cooperation Sea,86.3,0.0,100.0,12597
2026-08-29,Mawson Sea,81.91,0.0,100.0,11884
2026-08-29,Cosmonaut Sea,59.72,0.0,100.0,13358
2026-08-29,Somov Sea,97.08,0.0,100.0,14589
2026-08-29,Riiser-Larsen Sea,84.93,0.0,100.0,15825
2026-08-29,Lazarev Sea,93.28,0.0,100.0,12106
2026-08-29,King Haakon VII Sea,95.84,0.0,100.0,16529
2026-08-29,Antarctic Peninsula,22.43,0.0,100.0,18138
